TF,target
HNF4A,FMO5
RXRA,EFNA1
MYC,IGSF21
NR5A2,CLIC4
SP3,CTH
SMAD3,ADGRL2
MAFK,AL591043.2
NFE2L2,DNAJC6
GATA6,AC117944.1
STAT3,MUC1
CTNNB1,ATP1A1-AS1
PPARA,ORC1
KLF6,SLC25A33
MLXIPL,PLPP3
CTNNB1,IFI44L
NR1H4,AC099788.1
SP3,AL450992.1
STAT3,SCP2
ATF2,AL136234.1
SP3,CCDC30
GATA6,ANGPTL3
CREB1,PRAMEF33
MLXIPL,EFNA1
MAFK,SELL
TCF7L2,SUCO
KLF6,RIT1
CEBPB,AC117944.1
CTNNB1,MYOCOS
NFE2L2,LINC01708
MAFG,PRAMEF10
GATA6,APCS
HNF4A,ADGRL2
KLF6,LINC02606
KLF6,PTGFR
CREB1,MROH9
HNF1B,WDR78
SP3,ZRANB2-AS2
TCF7L2,SPAG17
GATA4,AK5
TCF7L2,GNG12-AS1
HNF1B,AGBL4
HNF1B,FMO5
CEBPB,ZRANB2-AS2
CEBPB,SPTA1
KLF6,AL138799.4
HNF1A,NEGR1
TEAD1,CRP
E2F3,EFNA1
RXRA,C1orf112
MLXIPL,UAP1
GATA4,PDE4B
PPARA,SCP2
SMAD3,ROR1
HNF1B,FMO3
TCF7L2,CLCA4-AS1
SMAD3,SCP2
E2F3,IL12RB2
CTNNB1,LINC01708
CREB1,AL591043.2
TEAD1,AL034417.4
SMAD2,LINC02606
CTNNB1,HSPA6
GATA4,SPSB1
SOX4,AC104170.1
MAFK,SLAMF7
TP53,AC119674.1
RXRB,SGIP1
TP53,PRKAA2
SOX4,SLC16A1
TEAD1,SLC25A33
ATF3,GBP1
MLXIPL,LEPR
CEBPB,PAPPA2
NFE2L2,APCS
RXRA,TP73
KLF6,PAPPA2
GATA4,ST6GALNAC3
CEBPB,AJAP1
TCF7L2,DNAJB4
PPARA,LEPR
SOX4,PRKAA2
FOXA1,PKN2-AS1
MAFK,PRAMEF10
RXRB,WDR78
HNF4A,CLCA4-AS1
PPARG,PYHIN1
PPARG,AC099792.1
MLXIPL,AC104170.1
CEBPB,KCNAB2
HNF1B,AL033530.1
MAFG,IGSF21
CEBPB,PER3
KLF6,ZRANB2-AS2
PPARG,AC104170.1
SOX9,RAB3B
NFE2L2,MAN1C1
CTNNB1,CRP
MLXIPL,CTH
HNF1B,PKN2-AS1
RXRA,SLC44A5
KLF6,APCS
MLXIPL,ZSWIM5
NFE2L2,PAPPA2
STAT3,ZYG11A
NFE2L2,AJAP1
GATA6,AK5
NR1H4,AL034417.4
ATF3,TTLL7
NFE2L2,AL034417.2
SMAD3,TBX15
TCF7L2,TP73
TEAD1,APCS
TCF7L2,TBX15
HNF4A,LEPR
NR5A2,LINC01362
SMAD2,AL034417.2
NR1H4,SLC25A33
HNF1A,ST6GALNAC3
ATF5,RAB3B
TCF7L2,AL450992.1
GATA4,SLAMF7
FOXA1,PLA2G2A
MLXIPL,AL034417.2
PPARG,FLG-AS1
CEBPA,LINC01708
GATA6,GNG12-AS1
KLF6,WLS
GATA4,ZSWIM5
STAT3,GBP5
CEBPB,DAB1
HNF1A,DNAJB4
NFE2L2,IFI44L
MLXIPL,ANGPTL3
CTNNB1,MAN1C1
MLXIPL,SPTA1
HNF1A,LEPR
SOX4,VTCN1
NFE2L2,ADGRL2
GATA4,PLA2G2A
STAT3,AJAP1
SP1,AJAP1
MYC,TTLL7
HNF1B,CCDC30
SMAD3,AL136234.1
ATF5,DNM3
MAFG,ST6GALNAC3
TEAD1,LINC01781
ATF5,CACHD1
PPARG,F3
MAFK,GNG12-AS1
KLF6,ATP1A1-AS1
CREB1,AJAP1
NR1H4,DPYD-AS1
MAFG,AL033530.1
CTNNB1,AL136234.1
RXRA,FMO3
MLXIPL,HSPG2
SOX4,ATP1A1-AS1
NR1H4,CTH
STAT3,MROH9
TCF7L2,MCL1
HNF1A,FLG-AS1
HNF4A,PRAMEF33
MAFK,SGIP1
CEBPA,TXNIP
SP1,MYOCOS
CTNNB1,FDPS
KLF6,WDR78
SP1,VTCN1
SMAD2,LINC01362
TCF7L2,SLC9C2
PPARG,SORT1
E2F3,WLS
FOXA2,SPSB1
HNF1B,HSPG2
CEBPB,CRP
TEAD1,DAB1
MAFK,AGBL4
PPARG,TGFBR3
HNF4A,LRRC7
NR5A2,RIT1
PPARA,LINC01226
FOXA3,AC117944.1
PPARG,KANK4
ATF3,LINC02798
HNF4A,GBP5
CTNNB1,SORT1
NFE2L2,NFIA-AS2
ATF5,DPYD-AS1
TCF7L2,NEGR1
